item_seq,product_name,search_name,ingredients,maker,image,interaction_text
201706380,모아비액티브정,모아비액티브,,한국코러스(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151525327782000142,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제, 레보도파와 함께 복용하지 마십시오. 에스트로겐을 포함한 경구용 피임제, 항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오. 녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
201706237,보니타정,보니타,,현대약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pm1vy6QIu0,"C형간염 직접작용 항바이러스제, 자몽주스, 페니토인, 히단토인, 바르비탈계 약물, 프리미돈, 카르바마제핀, 리팜피신, 리파부틴, 옥스카르바제핀, 토피라메이트, 펠바메이트, 리토나비르, 그리세오풀빈, 루피나미드, 아프레피탄트, 일부 HIV 프로테아제 저해제(예 : 리토나비르), 비클레오시드유사체 역전사효소억제제(예 : 에파비렌즈), 성 요한 풀 함유 제품, 고지혈증약물, 항생제와 함께 복용하지 마십시오."
201706350,센스데이정,센스데이,,(주)유한양행,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154609816285900048,"C형 간염 직접 작용 항바이러스제, 페니토인, 히단토인, 바르비탈계 약물, 프리미돈, 카르바마제핀, 리팜피신, 리파부틴, 옥스카르바제핀, 토피라메이트, 펠바메이트, 그리세오풀빈, 루피나미드, 아프레피탄트, 일부 HIV 프로테아제 저해제(예 : 리토나비르),비뉴클레오시드유사체 역전사효소억제제(에파비렌즈), 성요한풀 함유 제품 및 자몽주스와 함께 복용하지 마십시오.상세한 상호작용 약물은 허가사항 상세정보를 확인하십시오."
201706382,콘파워600정,콘파워600,,(주)한풍제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1M_kb4Aa6Gh,레보도파와 함께 복용하지 마십시오.
201706391,복합테르비나쿨크림,복합테르비나쿨,,(주)에이프로젠바이오로직스,,
201706393,룩스씨엠씨점안액(카르복시메틸셀룰로오스나트륨)(1회용),룩스씨엠씨,1회용,(주)씨엠지제약,,
201706415,알바트정(알마게이트),알바트,알마게이트,(주)바이넥스,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O1hVd7OtZu,"테트라사이클린계 항생물질과 함께 복용하지 마십시오. 비스테로이드 소염진통제, 궤양 치료제, 디기탈리스 제제, 클로르프로마진, 란소프라졸, 프레드니솔론, 페니실린, 퀴놀론, 철(Fe)염 제제, 살리실산염과 함께 복용 시 의사 또는 약사와 상의하십시오."
201706431,제일케토파워카타플라스마(케토프로펜),제일케토파워카타플라스마,케토프로펜,제일헬스사이언스(주),,
201706432,록소크린플라스타(록소프로펜나트륨수화물),록소크린플라스타,록소프로펜나트륨수화물,신신제약(주),,
201706447,칼디쓰리정,칼디쓰리,,(주)아이월드제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151032841143200057,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제와 함께 복용하지 마십시오. 강심배당체, 항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오. 녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
