ingredient_a,ingredient_b,severity,mechanism,advice,min_interval_hours,source
넬피나비어,에르고타민,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
리토나비르,에르고타민,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
보리코나졸,에르고타민,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
모클로베미드,플루옥세틴,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
모클로베미드,플루복사민,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
셀레길린염산염,플루복사민,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
티자니딘,플루복사민,5,"장기화된 저혈압, 졸음, 현기증 및 정신운동능력 감소",,,식약처 DUR 병용금기
모클로베미드,이미프라민,5,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
셀레길린염산염,이미프라민,5,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
미다졸람,인디나빌,5,과도한 진정작용,,,식약처 DUR 병용금기
리팜피신,인디나빌,5,혈중농도 저하로 항레트로바이러스 약물효과 감소,,,식약처 DUR 병용금기
메트포르민,이오비트리돌,5,기능적 신부전에 의해 유산 산성증 촉진,,,식약처 DUR 병용금기
메트포르민,이오헥솔,5,기능적 신부전에 의해 유산 산성증 촉진,,,식약처 DUR 병용금기
메트포르민,이오메프롤,5,기능적 신부전에 의해 유산 산성증 촉진,,,식약처 DUR 병용금기
메트포르민,이오프로마이드,5,기능적 신부전에 의해 유산 산성증 촉진,,,식약처 DUR 병용금기
메틸에르고메트린,이트라코나졸,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
넬피나비어,메틸에르고메트린,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
리토나비르,메틸에르고메트린,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
메틸에르고메트린,수마트립탄,5,"상가적인 혈관수축반응, 현저한 혈압상승",,,식약처 DUR 병용금기
메틸에르고메트린,졸미트립탄,5,"상가적인 혈관수축반응, 현저한 혈압상승",,,식약처 DUR 병용금기
메틸페니데이트,모클로베미드,5,고혈압성 위기(현저한 혈압상승),,,식약처 DUR 병용금기
메틸페니데이트,셀레길린염산염,5,고혈압성 위기(현저한 혈압상승),,,식약처 DUR 병용금기
모클로베미드,미르타자핀,5,"구역, 구토, 안면홍조, 어지러움, 진전, 산동, 강직, 발한, 고온증, 심장지표의 빠른 변화와 함께 자율신경계의 불안정, 정신상태의 변화",,,식약처 DUR 병용금기
노르트립틸린,모클로베미드,5,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
모클로베미드,파록세틴,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
모클로베미드,페티딘,5,"아편계 약물의 효과 증강. 혼수, 중증의 호흡 억제",,,식약처 DUR 병용금기
모클로베미드,설트랄린,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
모클로베미드,벤라팍신,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
몰시도민,실데나필,5,혈압강하작용 증강,,,식약처 DUR 병용금기
나라트립탄,수마트립탄,5,"상가적인 혈관수축반응, 현저한 혈압상승",,,식약처 DUR 병용금기
나라트립탄,졸미트립탄,5,"상가적인 혈관수축반응, 현저한 혈압상승",,,식약처 DUR 병용금기
넬피나비어,리팜피신,5,혈중농도 저하로 항레트로바이러스 약물효과 감소,,,식약처 DUR 병용금기
니코란딜,실데나필,5,혈관확장작용 증가로 저혈압 효과 상승,,,식약처 DUR 병용금기
노르트립틸린,셀레길린염산염,5,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
셀레길린염산염,페티딘,5,"아편계 약물의 효과 증강. 혼수, 중증의 호흡 억제",,,식약처 DUR 병용금기
리토나비르,피모짓,5,"QT 연장, 심실성 빈맥, 심실세동 및 torsades de pointes 등 심독성위험 증가",,,식약처 DUR 병용금기
보리코나졸,피모짓,5,"QT 연장, 심실성 빈맥, 심실세동 및 torsades de pointes 등 심독성위험 증가",,,식약처 DUR 병용금기
리팜피신,보리코나졸,5,혈중농도가 저하되어 보리코나졸의 약물효과 감소,,,식약처 DUR 병용금기
벤라팍신,셀레길린염산염,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
수마트립탄,졸미트립탄,5,"상가적인 혈관수축반응, 현저한 혈압상승",,,식약처 DUR 병용금기
